,,"Differentiating between groups having trading accounts, netbanking and not having CC and products vs the opposite group","Differentiating b/w having higher salary, td usage and higher engagement through nb,mb,pb,atm,dc and not having trading accounts vs the opposite",,,,,,,
,3.12,1.81,1.48,1.42,1.26,1.17,1.14,1.12,1.1,1.04
cp_nb_usg,0.24,-0.1,0.47,-0.07,0.09,0.09,0,-0.04,0.1,0.02
cp_casa_estat,0.2,-0.09,0.35,-0.08,-0.04,0.09,-0.1,-0.04,-0.03,-0.01
salary,0.06,-0.07,0.27,-0.17,-0.27,-0.08,-0.02,0.09,-0.09,-0.05
ep_ca,0.06,-0.19,0.21,-0.04,0.13,0.05,0.06,-0.05,0.02,0.04
ep_td_tag,0.05,-0.1,0.19,-0.05,-0.07,-0.09,0.01,0.38,-0.03,-0.07
ep_sa,0.01,-0.03,0.18,0.27,-0.1,0.07,-0.37,0.08,0.22,-0.27
ep_dc_chrgd,0.03,-0.01,0.16,0.64,-0.03,-0.05,0.09,0.02,-0.01,-0.02
cp_mb_usg,0.12,-0.02,0.15,0.05,0.04,0.16,-0.2,-0.04,0.2,0.25
cp_util_pay,0.36,0.06,0.14,0.2,0.03,-0.04,0.13,-0.04,-0.13,0.03
cp_pb_tag,0.13,-0.01,0.14,0,-0.05,0.13,-0.24,-0.09,0.04,0.17
ep_hl_tag,0.03,-0.02,0.09,-0.07,-0.35,-0.39,0.01,-0.09,0.02,-0.06
ep_gift_plus,0.02,-0.02,0.09,-0.01,0.03,0.03,-0.01,0,0,0.07
ep_frx_pur_sale,0.01,-0.02,0.05,-0.02,-0.07,-0.01,0,0.04,-0.04,0.38
ep_lock_flg,0.02,-0.04,0.05,-0.04,-0.23,-0.13,-0.04,0.3,-0.22,0.08
ep_mf_tag,0.04,-0.09,0.05,-0.04,-0.15,-0.11,-0.02,0.29,-0.15,-0.02
ep_hom_ins,0.01,0,0.04,-0.04,-0.26,-0.48,0.03,-0.35,0.26,0
ep_lap_tag,0.01,0,0.02,-0.02,-0.14,-0.31,0.03,-0.3,0.23,0.07
ep_las_tag,0.01,-0.02,0.02,0.01,-0.07,-0.02,-0.02,0.01,-0.1,0.3
ep_gl_tag,0.03,0.02,0.01,0.02,-0.15,0,-0.12,-0.08,-0.15,0.34
ep_edu_tag,0,0,0.01,-0.01,0,0.01,0.05,0,-0.03,0.13
ep_trad_tag,0,0,0.01,0,0,0,0,0.01,-0.02,0.07
ep_trvl_ins,0,-0.01,0.01,0,-0.02,-0.01,0.01,0.04,-0.01,0.39
ep_cnsmer_tag,0.01,0,0,0.01,-0.02,0.05,0.01,-0.03,0.04,0.12
ep_bl_tag,0,0,0,0,-0.01,0.01,0.03,0.01,0.02,-0.01
ep_ce_tag,0,0,0,0,0,0,-0.01,-0.01,-0.03,-0.05
ep_trak_tag,0,0,0,0,0,0,0,0,-0.02,-0.02
ep_me_serv,0,0,0,0,0,0,-0.01,0,0,0.01
ep_cv_tag,0,0,-0.01,0,0.01,0,0.03,-0.01,-0.01,0.05
ep_ins_tag,0.02,-0.02,-0.01,0,-0.14,-0.09,-0.06,0.34,-0.14,0.03
ep_al_ucl_tag,0.06,0,-0.04,-0.01,-0.45,0.36,0.27,-0.04,0.07,-0.07
cp_atm_tag,0.02,0.04,-0.05,0.31,-0.11,0.08,-0.42,0.02,0.2,-0.16
ep_motr_ins,0.05,0.02,-0.05,-0.01,-0.27,0.24,0.23,0.04,0.18,-0.08
ep_cnc_tag,0.03,0.01,-0.05,0,-0.35,0.36,0.25,-0.09,0.08,-0.03
cp_smrt_bill,0.07,-0.01,-0.05,-0.56,-0.01,0.13,-0.36,0.01,0.2,-0.12
ep_cc_reg,0.47,0.09,-0.07,-0.05,0.05,-0.03,0.08,-0.03,-0.08,-0.06
cp_cc_estat,0.48,0.12,-0.09,-0.04,0.04,-0.03,0.06,-0.03,-0.07,-0.06
ep_cc_plcc,0.17,0.1,-0.1,0.01,0.01,-0.04,-0.12,-0.16,-0.28,-0.18
ep_twl_tag,0.01,0.03,-0.14,0.05,-0.08,0.07,-0.18,-0.05,0.02,0.28
ep_cc_coc,0.26,0.14,-0.15,-0.01,0.02,-0.04,-0.08,-0.12,-0.22,-0.13
ep_hlth_ins,0.15,0.1,-0.19,0.02,0.05,-0.13,0.07,0.38,0.49,0.16
ep_insta_alrt,-0.03,0.02,-0.21,0.05,-0.3,-0.04,-0.27,0.13,-0.19,-0.06
ep_pl_tag,0.11,0.06,-0.22,0.08,-0.15,0.14,-0.24,-0.17,-0.12,0.19
ep_cc_dae_bte,0.31,0.15,-0.23,0.02,0.06,-0.1,0.06,0.23,0.27,0.06
ep_demat_flg,0.13,-0.64,-0.23,0.05,0.03,-0.01,0,-0.04,0.01,-0.01
ep_hsl_flg,0.13,-0.64,-0.24,0.05,0.02,-0.02,0,-0.04,0.02,-0.02
